Municipality Code,State Code,Region,State,Municipality,Population,Adult Population,Adult Population (Women),Adult Population (Men),Type of Population,Social Lag Index,Banking Agents,Bank Branches,ATMs,POS Terminals,Businesses with POS Terminals,Accounts with Mobile Transactions,ATM Transactions,POS Transactions,Banking - Savings Accounts,Banking - Term Deposit Accounts,Banking - Transactional Accounts Level 1,Banking - Transactional Accounts Level 2,Banking - Transactional Accounts Level 3,Banking - Transactional Accounts Level 4,Banking - Debit Card Accounts,EACP - Savings Accounts,EACP - Term Deposit Accounts,EACP - Demand Deposit Accounts,EACP - Debit Card Accounts,Total - Total Accounts,Banking - Credit Cards,Banking - Personal Loans,Banking - Payroll Loans,Banking - ABCD Loans,Banking - Group Loans,Banking - Mortgage Loans,Banking - Auto Loans,EACP - Credit Cards,EACP - Consumer Loans,EACP - Housing Loans,EACP - Commercial Loans,Total - Total Loans
20547,20,Sur,Oaxaca,Teotongo,1005,751,414,337,Rural,Bajo,0,0,0,0,0,297,0,0,0,0,0,0,0,0,37,519,69,196,9,784,34,98,18,8,9,0,2,5,113,0,37,287
20548,20,Sur,Oaxaca,Tepelmeme Villa de Morelos,1960,1350,758,592,Rural,Medio,1,2,1,4,4,260,1464,14,0,3,0,18,0,303,1219,111,33,731,12,1199,31,42,3,9,188,0,4,14,114,0,75,405
20549,20,Sur,Oaxaca,Tezoatlán de Segura Y Luna,11465,8444,4563,3881,En Transición,Medio,2,2,2,3,3,1677,3602,1,0,14,0,58,0,501,2361,6663,848,3683,60,11767,257,538,64,190,160,1,9,19,2192,0,438,3430
20550,20,Sur,Oaxaca,San Jerónimo Tlacochahuaya,5764,4426,2369,2057,En Transición,Bajo,0,1,1,3,3,1820,2231,109,0,5,0,100,0,554,2762,798,207,918,203,2582,466,674,143,122,218,8,29,110,231,2,81,2003
20551,20,Sur,Oaxaca,Tlacolula de Matamoros,30254,22171,11840,10331,Semi-urbano,Bajo,9,8,15,58,50,14125,45290,5084,0,1215,0,426,0,23358,24388,7549,1872,8900,1945,43320,3871,5414,844,1291,759,145,170,1289,1898,36,793,15717
20552,20,Sur,Oaxaca,Tlacotepec Plumas,410,320,172,148,Rural,Bajo,0,0,0,0,0,67,0,0,0,0,0,0,0,0,7,62,30,169,9,261,4,9,2,1,27,0,0,3,32,0,17,78
20553,20,Sur,Oaxaca,Tlalixtac de Cabrera,12067,9056,4826,4230,En Transición,Bajo,5,2,15,52,38,10381,26152,23819,0,127,0,16878,8,7248,24584,1216,392,1608,437,27477,1517,1383,280,422,251,62,125,402,409,6,86,4857
20554,20,Sur,Oaxaca,Totontepec Villa de Morelos,5904,3991,2130,1861,En Transición,Alto,1,0,0,0,0,647,1,0,0,0,0,0,0,0,55,37,12,58,18,107,13,23,20,13,0,0,0,4,5,0,6,78
20555,20,Sur,Oaxaca,Trinidad Zaachila,3419,2592,1376,1216,Rural,Bajo,0,1,1,0,0,546,1259,0,0,14,0,289,0,247,1879,565,182,782,100,2079,61,167,29,68,41,0,1,31,182,5,58,585
20556,20,Sur,Oaxaca,"Trinidad Vista Hermosa, La",306,220,119,101,Rural,Bajo,0,0,0,0,0,85,0,0,0,0,0,0,0,0,19,97,6,42,3,145,11,29,3,2,0,0,0,1,20,0,9,66
20557,20,Sur,Oaxaca,Unión Hidalgo,14542,11198,5841,5357,En Transición,Muy bajo,3,1,3,12,12,7586,15877,4386,0,10,0,73,0,2001,8007,1030,188,1009,523,4311,1164,2978,676,404,953,18,138,426,104,0,73,6861
20558,20,Sur,Oaxaca,Valerio Trujano,1376,1071,580,491,Rural,Bajo,0,0,0,0,0,291,0,0,0,0,0,0,0,0,61,20,0,23,7,43,44,77,26,23,108,0,3,4,8,0,5,293
20559,20,Sur,Oaxaca,San Juan Bautista Valle Nacional,23067,16738,8844,7894,Semi-urbano,Bajo,5,4,5,15,12,6603,5317,874,0,124,0,117,0,9898,23605,2178,1188,6724,745,20229,3907,2228,321,294,354,4,45,216,1100,63,543,8532
20560,20,Sur,Oaxaca,Villa Díaz Ordaz,6467,4889,2693,2196,En Transición,Medio,0,1,1,0,0,1140,961,0,0,7,0,796,0,382,3669,511,165,439,51,2300,177,627,27,110,45,0,4,24,85,1,39,1100
20561,20,Sur,Oaxaca,Yaxe,2954,2157,1150,1007,Rural,Alto,0,0,0,0,0,435,0,0,0,0,0,0,0,0,29,452,88,265,14,805,22,145,14,83,21,0,2,6,54,0,52,347
20562,20,Sur,Oaxaca,Magdalena Yodocono de Porfirio Díaz,1682,1226,632,594,Rural,Bajo,0,0,0,0,0,279,0,0,0,0,0,0,0,0,21,129,10,67,22,206,37,170,15,60,16,0,6,9,51,1,26,365
20563,20,Sur,Oaxaca,Yogana,1245,973,506,467,Rural,Alto,0,1,1,0,0,207,757,0,0,0,0,0,0,0,24,159,44,74,5,277,26,68,1,14,13,0,1,1,20,0,5,144
20564,20,Sur,Oaxaca,Yutanduchi de Guerrero,1195,863,454,409,Rural,Alto,0,1,1,0,0,71,1453,0,0,0,0,8,0,382,1239,2,0,4,0,396,3,15,8,2,0,0,0,1,2,0,0,31
20565,20,Sur,Oaxaca,Villa de Zaachila,46464,33366,17908,15458,Semi-urbano,Medio,3,4,4,60,55,17130,9402,12104,0,114,0,1482,0,5012,24241,9888,2955,13800,2108,33251,2828,5453,1204,1881,1474,226,262,1123,3207,125,824,17783
20566,20,Sur,Oaxaca,Zapotitlán del Río,3144,2159,1107,1052,Rural,Alto,0,0,0,0,0,308,0,0,0,0,0,0,0,0,29,31,10,14,7,55,8,13,2,5,4,0,1,1,2,0,2,36
20567,20,Sur,Oaxaca,Zapotitlán Lagunas,3382,2319,1206,1113,Rural,Medio,3,1,1,0,0,491,1130,0,0,0,0,22,0,137,712,41,7,42,3,249,25,95,3,40,76,0,1,0,4,0,0,244
20568,20,Sur,Oaxaca,Zapotitlán Palmas,1695,1217,676,541,Rural,Bajo,0,0,0,0,0,356,0,0,0,0,0,0,0,0,17,458,47,199,7,704,28,241,7,46,71,0,0,5,87,0,23,485
20569,20,Sur,Oaxaca,Santa Inés de Zaragoza,1454,1038,564,474,Rural,Alto,0,0,0,0,0,209,0,0,0,0,0,0,0,0,9,68,5,34,5,107,7,93,4,10,48,0,2,2,20,0,15,186
20570,20,Sur,Oaxaca,Zimatlán de Álvarez,22093,16275,8728,7547,Semi-urbano,Bajo,9,5,8,37,32,8970,23800,1895,0,590,0,2571,0,15799,30139,6507,1416,7484,890,34367,1577,2692,387,1179,555,11,97,414,1710,64,594,8686
21001,21,Centro Sur y Oriente,Puebla,Acajete,72894,48763,25642,23121,Urbano,Bajo,19,4,6,51,36,18954,23718,5079,0,104,0,420,0,23701,46581,1879,438,4726,1144,31268,6115,3642,674,1971,3913,44,203,881,485,0,1192,17928
21002,21,Centro Sur y Oriente,Puebla,Acateno,9170,6804,3420,3384,En Transición,Medio,3,1,0,4,4,2227,0,113,0,0,0,0,0,0,201,779,127,2778,60,3684,245,1484,98,552,407,0,11,58,122,0,152,2977
21003,21,Centro Sur y Oriente,Puebla,Acatlán,37955,27336,14886,12450,Semi-urbano,Bajo,10,12,18,163,30,16738,41579,5212,1368,2095,0,235,0,32546,31697,8755,1419,4746,635,51164,6961,5300,846,1946,1525,15,96,530,1919,42,521,19180
21004,21,Centro Sur y Oriente,Puebla,Acatzingo,63743,42806,22340,20466,Urbano,Bajo,24,10,10,87,78,16892,29913,3374,0,390,0,201,0,32806,56820,4752,1546,6348,1187,46043,7307,7725,422,3089,2723,15,186,1056,994,2,611,23519
21005,21,Centro Sur y Oriente,Puebla,Acteopan,3070,2387,1290,1097,Rural,Alto,1,1,1,1,1,528,414,0,0,0,0,6,0,82,587,272,65,144,8,569,31,169,3,24,46,0,0,5,23,0,61,301
21006,21,Centro Sur y Oriente,Puebla,Ahuacatlán,14542,10115,5473,4642,En Transición,Alto,7,1,2,14,14,1877,6703,204,0,2,0,59,0,554,5663,362,178,841,66,1996,134,231,92,89,111,0,12,48,103,0,62,820
21007,21,Centro Sur y Oriente,Puebla,Ahuatlán,3162,2189,1134,1055,Rural,Medio,0,0,0,0,0,642,0,0,0,0,0,0,0,0,100,81,11,32,6,124,59,166,10,83,7,0,0,6,9,0,11,340
21008,21,Centro Sur y Oriente,Puebla,Ahuazotepec,11439,8046,4228,3818,En Transición,Bajo,5,2,4,21,19,4012,14824,2951,0,163,0,5609,0,2992,36515,40,62,326,171,9192,607,609,144,255,303,13,60,160,14,0,13,2165
21009,21,Centro Sur y Oriente,Puebla,Ahuehuetitla,2207,1583,846,737,Rural,Bajo,0,0,0,0,0,597,0,0,0,0,0,0,0,0,185,113,29,103,11,245,108,204,14,71,85,7,3,10,27,0,13,529
21010,21,Centro Sur y Oriente,Puebla,Ajalpan,74768,50131,26344,23787,Urbano,Alto,10,7,9,54,52,13215,20125,4446,0,176,0,1505,0,17513,54590,2281,399,6974,746,28848,3019,3919,620,677,2231,6,116,565,780,4,414,11937
21011,21,Centro Sur y Oriente,Puebla,Albino Zertuche,1885,1319,715,604,Rural,Bajo,1,1,1,0,0,458,370,0,0,0,0,5,0,14,298,6,3,22,9,50,56,77,8,10,31,0,1,9,0,0,0,192
21012,21,Centro Sur y Oriente,Puebla,Aljojuca,6591,4893,2633,2260,En Transición,Bajo,2,1,1,3,3,1827,891,36,0,0,0,6,0,240,1130,100,74,175,80,595,193,550,62,164,250,0,10,65,7,0,3,1301
21013,21,Centro Sur y Oriente,Puebla,Altepexi,22629,16072,8436,7636,Semi-urbano,Bajo,10,1,2,31,28,4830,4286,3989,0,4,0,10,0,413,5485,1752,184,2948,362,5311,645,1678,294,280,2457,1,56,291,294,3,386,5999
21014,21,Centro Sur y Oriente,Puebla,Amixtlán,4812,3516,1911,1605,Rural,Alto,1,1,1,2,2,722,871,65,0,0,0,18,0,72,1381,84,14,200,28,388,49,84,41,26,65,0,3,9,14,0,35,291
21015,21,Centro Sur y Oriente,Puebla,Amozoc,125876,90035,46670,43365,Urbano,Bajo,52,9,21,360,227,59059,124383,61571,0,365,0,1999,0,38804,91734,2408,1756,12319,5545,57651,13868,8539,3503,5568,5282,547,641,4895,1360,1,1006,44204
21016,21,Centro Sur y Oriente,Puebla,Aquixtla,9021,6383,3218,3165,En Transición,Medio,1,2,1,13,13,1708,1496,280,0,2,0,8,0,263,1894,60,71,935,73,1339,193,903,67,310,124,0,24,72,181,1,84,1875
21017,21,Centro Sur y Oriente,Puebla,Atempan,29742,20010,10696,9314,Semi-urbano,Medio,6,2,6,35,30,8133,30788,4472,0,111,0,115,0,5082,11971,895,262,1451,338,7916,712,2980,292,557,280,7,55,234,97,0,132,5214
21018,21,Centro Sur y Oriente,Puebla,Atexcal,3859,2691,1447,1244,Rural,Medio,0,0,2,19,17,815,4170,4776,0,0,0,0,0,0,137,300,31,247,45,578,86,177,40,91,73,0,1,25,46,0,32,539
21019,21,Centro Sur y Oriente,Puebla,Atlixco,141793,104716,56558,48158,Urbano,Bajo,54,23,61,910,719,85297,192741,74052,2874,4679,0,18362,13,117477,195017,7786,2053,13530,8608,166774,32699,16535,4512,7465,2571,812,1317,7537,2774,7,742,76229
21020,21,Centro Sur y Oriente,Puebla,Atoyatempan,7704,5316,2810,2506,En Transición,Bajo,2,1,1,6,6,2322,1941,436,0,19,0,84,0,518,3067,1808,178,1422,157,4029,287,578,48,261,290,0,24,102,352,0,209,1942
21021,21,Centro Sur y Oriente,Puebla,Atzala,1512,1087,578,509,Rural,Bajo,0,0,0,0,0,558,0,0,0,0,0,0,0,0,142,219,85,84,20,388,86,184,43,89,25,6,3,22,35,0,14,493
21022,21,Centro Sur y Oriente,Puebla,Atzitzihuacán,12857,9122,4908,4214,En Transición,Medio,2,1,4,1,1,2406,4324,0,0,15,0,1233,0,821,6198,753,54,431,99,3307,254,599,76,252,83,2,15,77,126,0,110,1484
21023,21,Centro Sur y Oriente,Puebla,Atzitzintla,9051,6019,3128,2891,En Transición,Medio,3,1,1,1,1,1972,605,118,0,0,0,8,0,164,1251,568,24,405,46,1169,144,628,35,119,345,0,6,26,39,0,94,1342
21024,21,Centro Sur y Oriente,Puebla,Axutla,976,766,403,363,Rural,Bajo,0,1,1,0,0,352,304,0,0,0,0,2,0,53,233,100,25,61,9,241,44,99,5,36,34,0,7,4,8,0,14,237
21025,21,Centro Sur y Oriente,Puebla,Ayotoxco de Guerrero,8208,5871,3063,2808,En Transición,Medio,3,3,2,7,7,2323,2215,1137,0,0,0,22,0,320,3948,2029,273,5948,93,8592,213,892,94,274,698,1,16,69,235,0,348,2492
21026,21,Centro Sur y Oriente,Puebla,Calpan,15271,11186,5911,5275,Semi-urbano,Bajo,7,1,2,8,8,3755,3703,430,0,5,0,36,0,1579,4517,328,207,568,282,2723,506,1050,137,360,339,35,51,242,62,0,21,2782
21027,21,Centro Sur y Oriente,Puebla,Caltepec,4128,3075,1701,1374,Rural,Medio,1,2,2,0,0,763,1364,0,0,25,0,15,0,338,1895,573,14,258,25,1223,74,187,45,22,88,0,7,17,114,0,116,554
21028,21,Centro Sur y Oriente,Puebla,Camocuautla,2758,1931,995,936,Rural,Alto,0,1,1,0,0,249,84,0,0,2,0,7,0,108,780,83,5,165,3,370,8,17,10,5,0,5,2,1,17,0,39,65
21029,21,Centro Sur y Oriente,Puebla,Caxhuacan,3811,2803,1484,1319,Rural,Medio,0,1,2,1,1,680,1462,0,0,0,0,5,0,64,949,467,36,1145,16,1717,79,73,59,7,23,0,8,8,41,0,86,298
21030,21,Centro Sur y Oriente,Puebla,Coatepec,772,566,304,262,Rural,Medio,1,0,0,0,0,173,0,0,0,0,0,0,0,0,17,25,0,36,7,61,9,23,8,6,22,1,0,2,3,0,10,74
21031,21,Centro Sur y Oriente,Puebla,Coatzingo,2820,1999,1058,941,Rural,Medio,1,1,1,0,0,669,512,0,0,0,0,2,0,59,968,250,14,119,9,444,66,243,5,102,2,1,7,10,27,0,11,463
21032,21,Centro Sur y Oriente,Puebla,Cohetzala,1382,1020,489,531,Rural,Bajo,0,1,1,0,0,342,243,0,0,0,0,0,0,49,302,192,11,47,5,299,27,134,11,7,55,0,0,2,44,0,9,280
21033,21,Centro Sur y Oriente,Puebla,Cohuecán,5403,3843,2039,1804,En Transición,Medio,0,1,1,1,1,1163,351,0,0,2,0,14,0,103,691,660,100,362,27,1241,127,451,18,69,117,0,5,20,88,0,125,895
21034,21,Centro Sur y Oriente,Puebla,Coronango,46836,33875,17460,16415,Semi-urbano,Muy bajo,19,5,19,453,203,39557,64382,81971,0,184,0,10430,0,19827,65953,1355,1697,7795,4551,41288,10054,4801,2010,3032,1306,2064,768,4804,508,1,158,29348
21035,21,Centro Sur y Oriente,Puebla,Coxcatlán,20653,15009,8006,7003,Semi-urbano,Bajo,5,2,4,17,16,6234,11557,1282,0,67,0,940,0,3565,21779,806,183,1369,397,6930,866,1542,819,322,849,3,67,334,173,0,79,4975
21036,21,Centro Sur y Oriente,Puebla,Coyomeapan,14806,9432,5133,4299,En Transición,Muy alto,3,0,0,4,4,1070,0,25,0,0,0,0,0,0,124,180,17,114,15,311,40,79,32,14,104,0,8,9,35,0,31,321
21037,21,Centro Sur y Oriente,Puebla,Coyotepec,2334,1809,968,841,Rural,Bajo,0,1,1,3,3,814,1307,4,0,1,0,15,0,134,992,213,29,170,32,562,104,220,51,64,55,0,10,35,42,0,20,581
21038,21,Centro Sur y Oriente,Puebla,Cuapiaxtla de Madero,10542,7046,3665,3381,En Transición,Bajo,2,0,0,23,22,2340,0,2669,0,0,0,0,0,0,177,870,101,733,130,1704,309,687,58,397,355,3,34,92,148,0,120,2083
21039,21,Centro Sur y Oriente,Puebla,Cuautempan,9837,6880,3654,3226,En Transición,Medio,3,1,2,2,2,908,3332,42,0,2,0,15,0,235,2509,394,32,920,54,1598,85,163,78,17,250,1,13,39,77,0,148,723
21040,21,Centro Sur y Oriente,Puebla,Cuautinchán,12340,8430,4341,4089,En Transición,Medio,5,1,2,3,3,2842,1984,5,0,3,0,7,0,119,1120,645,247,907,150,1928,217,1132,57,392,408,142,28,135,151,1,58,2663
21041,21,Centro Sur y Oriente,Puebla,Cuautlancingo,137435,103377,53815,49562,Urbano,Muy bajo,81,11,66,749,461,58144,123064,134257,3104,1234,0,833,31,49435,95361,3409,4292,18689,10123,81027,27273,9439,5532,4671,2579,5589,1825,10901,1382,9,411,69200
21042,21,Centro Sur y Oriente,Puebla,Cuayuca de Andrade,3315,2402,1258,1144,Rural,Medio,2,1,1,1,1,726,1096,3,0,11,0,3,0,215,887,224,23,138,15,614,51,160,42,89,48,0,6,11,68,0,21,475
21043,21,Centro Sur y Oriente,Puebla,Cuetzalan del Progreso,49864,35032,18407,16625,Semi-urbano,Medio,8,7,8,47,46,9347,23493,1761,0,417,0,168,0,19686,39901,10416,2810,35815,471,69312,4385,2674,724,249,1901,5,78,376,1231,0,1341,11623
21044,21,Centro Sur y Oriente,Puebla,Cuyoaco,17139,11921,6302,5619,Semi-urbano,Bajo,8,1,1,26,15,4513,2481,1342,0,6,0,21,0,309,3343,261,83,775,222,1455,400,1885,197,664,1140,2,19,168,45,0,46,4520
21045,21,Centro Sur y Oriente,Puebla,Chalchicomula de Sesma,47410,34187,18164,16023,Semi-urbano,Bajo,14,9,12,56,54,23556,44597,5245,1240,1091,0,4952,1,47032,94623,692,441,1807,1250,57256,8994,6200,948,2653,3131,55,178,1152,133,0,68,23444
21046,21,Centro Sur y Oriente,Puebla,Chapulco,8193,5532,2936,2596,En Transición,Bajo,4,1,1,21,17,2247,796,14546,0,0,0,401,0,330,2415,593,102,1307,202,2733,365,781,141,175,895,3,39,172,138,11,118,2720
21047,21,Centro Sur y Oriente,Puebla,Chiautla,21699,15738,8119,7619,Semi-urbano,Bajo,6,6,4,66,48,8191,11529,3498,0,1206,0,146,1,12979,19974,3296,508,1382,272,19518,3699,3765,498,463,628,14,74,212,731,30,166,10114
21048,21,Centro Sur y Oriente,Puebla,Chiautzingo,22039,15905,8418,7487,Semi-urbano,Bajo,6,1,2,12,12,6581,8000,90,0,15,0,1245,0,860,6065,1049,272,1413,409,4854,879,2221,381,844,739,5,55,356,151,0,207,5631
21049,21,Centro Sur y Oriente,Puebla,Chiconcuautla,17382,11329,5943,5386,Semi-urbano,Alto,0,1,2,0,0,2109,2670,0,0,0,0,20,0,300,5502,6,15,38,29,379,76,410,52,102,105,0,2,18,6,0,3,771
21050,21,Centro Sur y Oriente,Puebla,Chichiquila,26928,17661,9089,8572,Semi-urbano,Alto,0,0,0,1,1,2916,0,0,0,0,0,0,0,0,156,695,78,747,65,1520,113,466,62,141,275,2,22,33,209,0,11,1323
21051,21,Centro Sur y Oriente,Puebla,Chietla,37030,26995,14072,12923,Semi-urbano,Bajo,6,5,7,20,20,11957,16133,819,0,237,0,3111,0,9722,35088,4604,961,1923,524,20558,2132,4902,1100,1413,429,2,99,422,769,1,238,11269
21052,21,Centro Sur y Oriente,Puebla,Chigmecatitlán,1215,978,545,433,Rural,Medio,0,0,0,0,0,281,0,0,0,0,0,0,0,0,13,183,42,84,15,309,12,93,2,23,47,0,2,13,53,0,18,245
21053,21,Centro Sur y Oriente,Puebla,Chignahuapan,66464,46754,24579,22175,Urbano,Bajo,18,7,13,314,289,33073,58139,28216,0,521,0,1610,1,30666,52684,646,408,2953,1471,36805,12398,7142,1039,2110,1769,57,288,1384,183,0,352,26370
21054,21,Centro Sur y Oriente,Puebla,Chignautla,35223,23830,12577,11253,Semi-urbano,Medio,4,0,1,40,35,9755,0,5170,0,0,0,0,0,0,1330,1105,236,1701,664,3042,1128,5938,422,2165,979,10,66,509,207,2,175,11426
21055,21,Centro Sur y Oriente,Puebla,Chila,5082,3664,1961,1703,En Transición,Medio,0,1,1,1,1,1039,935,263,0,10,0,5,0,125,1044,843,139,452,33,1574,194,326,35,101,25,0,7,24,187,0,41,899
21056,21,Centro Sur y Oriente,Puebla,Chila de la Sal,1317,996,521,475,Rural,Bajo,0,0,0,0,0,428,0,0,0,0,0,0,0,0,16,48,6,38,7,92,57,134,6,23,20,0,4,9,6,0,6,259
21057,21,Centro Sur y Oriente,Puebla,Honey,6687,4530,2445,2085,En Transición,Medio,0,1,1,0,0,1483,2011,0,0,1,0,25,0,122,1128,8,7,68,42,231,141,140,33,105,13,0,9,34,2,0,0,477
21058,21,Centro Sur y Oriente,Puebla,Chilchotla,21002,13430,6814,6616,Semi-urbano,Medio,3,2,3,12,10,3443,6791,2390,0,2,0,174,0,2776,9748,207,141,264,68,3564,161,807,40,144,158,0,16,56,52,0,10,1434
21059,21,Centro Sur y Oriente,Puebla,Chinantla,2846,2038,1066,972,Rural,Bajo,2,1,1,3,3,748,446,19,0,0,0,5,0,178,1190,240,29,128,23,580,134,181,26,64,78,2,7,21,47,0,24,560
21060,21,Centro Sur y Oriente,Puebla,Domingo Arenas,7982,5505,2915,2590,En Transición,Medio,3,1,1,0,0,1642,1436,0,0,0,0,0,0,0,161,140,52,335,81,527,188,780,75,340,252,0,16,74,15,0,51,1740
21061,21,Centro Sur y Oriente,Puebla,Eloxochitlán,14461,9538,4831,4707,En Transición,Muy alto,0,1,1,6,6,1410,2544,146,0,0,0,6,0,677,5479,81,56,1686,22,2506,37,56,42,21,1,0,4,18,254,0,21,433
21062,21,Centro Sur y Oriente,Puebla,Epatlán,4943,3515,1839,1676,Rural,Bajo,3,1,1,4,4,1772,1286,58,0,0,0,19,0,55,963,479,101,248,63,902,226,485,60,228,115,0,10,43,79,0,37,1246
21063,21,Centro Sur y Oriente,Puebla,Esperanza,14766,10343,5493,4850,En Transición,Bajo,8,3,5,23,18,5457,12553,5404,0,260,0,736,0,9061,24940,195,47,258,199,10557,395,1562,187,331,622,0,28,165,31,0,17,3321
21064,21,Centro Sur y Oriente,Puebla,Francisco Z. Mena,17824,13150,6639,6511,Semi-urbano,Medio,5,1,6,7,7,4423,10663,942,0,8,0,36,0,430,8424,335,40,274,130,1123,379,994,148,347,437,5,27,99,25,0,88,2461
21065,21,Centro Sur y Oriente,Puebla,General Felipe Ángeles,22694,15484,8160,7324,Semi-urbano,Bajo,5,1,2,11,9,5316,1428,891,0,4,0,38,0,1507,4383,2130,554,2066,266,6299,450,1419,84,501,946,8,24,218,401,0,364,4051
21066,21,Centro Sur y Oriente,Puebla,Guadalupe,6451,4720,2574,2146,En Transición,Bajo,2,1,1,2,2,1605,762,82,0,0,0,12,0,61,1574,872,225,575,19,1745,238,655,39,241,264,0,11,16,177,0,67,1641
21067,21,Centro Sur y Oriente,Puebla,Guadalupe Victoria,18784,13125,6845,6280,Semi-urbano,Bajo,3,2,3,41,33,6412,9353,3442,0,44,0,145,0,7166,13406,296,78,499,272,8228,530,2747,206,799,821,3,32,220,42,0,38,5400
21068,21,Centro Sur y Oriente,Puebla,Hermenegildo Galeana,7011,4873,2565,2308,En Transición,Alto,0,0,0,0,0,917,0,0,0,0,0,0,0,0,117,229,30,483,26,742,50,79,48,29,38,0,6,15,40,0,72,305
21069,21,Centro Sur y Oriente,Puebla,Huaquechula,29233,20459,10930,9529,Semi-urbano,Bajo,7,2,2,13,13,8393,1910,464,0,24,0,23,0,1254,5278,2407,201,1421,303,5330,928,2494,201,970,274,0,47,229,379,0,310,5522
21070,21,Centro Sur y Oriente,Puebla,Huatlatlauca,6111,4547,2547,2000,En Transición,Medio,1,1,1,2,2,1159,2141,0,0,0,0,1,0,103,651,516,47,295,46,962,129,141,24,51,89,0,14,35,95,0,56,578
21071,21,Centro Sur y Oriente,Puebla,Huauchinango,103946,73925,40306,33619,Urbano,Bajo,33,9,33,317,287,59958,141324,29361,909,1966,0,2879,6,72337,120375,676,721,5161,3371,84655,21130,13565,3434,4576,5147,222,499,3316,319,0,238,52208
21072,21,Centro Sur y Oriente,Puebla,Huehuetla,17082,12060,6292,5768,Semi-urbano,Alto,4,2,2,5,5,1632,5493,729,0,8,0,227,0,3113,14149,1884,158,3374,68,8764,115,114,162,36,164,0,13,66,284,0,145,954
21073,21,Centro Sur y Oriente,Puebla,Huehuetlán El Chico,9760,6939,3564,3375,En Transición,Bajo,1,2,2,14,11,2412,2890,928,0,0,0,12,0,177,1956,2279,578,1654,128,4700,354,1130,114,186,374,3,14,70,346,0,115,2591
21074,21,Centro Sur y Oriente,Puebla,Huejotzingo,90794,65275,34080,31195,Urbano,Muy bajo,41,8,24,252,219,48207,97633,47903,1331,597,0,4733,0,58548,96070,3158,1837,10175,4545,80379,12930,10125,2558,4244,3139,850,634,4369,629,0,519,39478
21075,21,Centro Sur y Oriente,Puebla,Hueyapan,13080,8831,4719,4112,En Transición,Medio,0,1,1,6,6,3230,2628,183,0,52,0,96,0,1549,6641,646,70,1122,146,3535,216,1266,150,170,71,0,15,81,80,0,113,2049
21076,21,Centro Sur y Oriente,Puebla,Hueytamalco,27600,20005,10214,9791,Semi-urbano,Medio,4,4,6,19,18,9295,15494,1542,0,78,0,282,0,10101,19320,4940,1281,18868,266,35550,852,4031,261,1370,328,2,34,194,725,0,855,7797
21077,21,Centro Sur y Oriente,Puebla,Hueytlalpan,5951,4266,2200,2066,En Transición,Muy alto,0,1,2,0,0,520,1716,0,0,0,0,12,0,22,1002,612,168,2205,16,3019,27,34,19,12,22,1,4,13,86,0,68,218
21078,21,Centro Sur y Oriente,Puebla,Huitzilan de Serdán,15928,10606,5293,5313,Semi-urbano,Alto,0,1,1,1,1,1505,677,499,0,0,0,10,0,141,1386,1511,160,3458,32,5280,88,176,68,25,173,0,9,14,265,0,195,818
21079,21,Centro Sur y Oriente,Puebla,Huitziltepec,5782,4111,2182,1929,En Transición,Bajo,1,2,1,2,2,1300,1401,570,0,10,0,10,0,191,1148,2828,345,2145,137,5529,198,305,43,134,108,0,16,72,854,0,266,1730
21080,21,Centro Sur y Oriente,Puebla,Atlequizayan,2633,1939,1077,862,Rural,Alto,0,1,1,1,1,260,1041,11,0,6,0,5,0,169,709,273,96,883,18,1432,18,17,22,5,18,0,0,10,30,0,59,120
21081,21,Centro Sur y Oriente,Puebla,Ixcamilpa de Guerrero,4065,2879,1515,1364,Rural,Medio,1,1,1,2,2,701,736,4,0,0,0,0,0,0,41,130,5,33,6,168,96,121,13,22,62,1,7,8,32,0,1,362
21082,21,Centro Sur y Oriente,Puebla,Ixcaquixtla,8804,6314,3373,2941,En Transición,Bajo,3,1,3,13,11,3068,7263,408,0,0,0,58,0,433,4510,1232,119,800,123,2642,466,919,244,289,317,3,65,111,206,0,159,2620
21083,21,Centro Sur y Oriente,Puebla,Ixtacamaxtitlán,25319,17749,9074,8675,Semi-urbano,Medio,3,1,2,11,11,4527,1865,77,0,0,0,7,0,242,2413,389,98,539,127,1275,328,962,153,277,468,0,42,111,20,0,39,2361
21084,21,Centro Sur y Oriente,Puebla,Ixtepec,6950,4891,2553,2338,En Transición,Alto,2,2,2,3,3,801,4413,4,0,4,0,20,0,242,1921,1092,255,2894,47,4507,44,51,37,12,83,0,3,28,110,0,153,368
21085,21,Centro Sur y Oriente,Puebla,Izúcar de Matamoros,82809,59647,31767,27880,Urbano,Bajo,30,19,39,252,211,46820,125495,14343,2816,3984,0,11106,8,90320,178321,18082,3243,8331,2354,137890,20644,11687,2341,5165,1537,93,383,2086,3224,9,1100,47169
21086,21,Centro Sur y Oriente,Puebla,Jalpan,12050,8459,4506,3953,En Transición,Medio,0,0,0,1,1,3907,0,0,0,0,0,0,0,0,223,127,18,120,76,265,143,663,130,208,304,1,11,49,35,0,5,1544
21087,21,Centro Sur y Oriente,Puebla,Jolalpan,13308,9375,4925,4450,En Transición,Medio,3,1,1,6,5,2551,870,313,0,0,0,3,0,176,1837,831,98,405,40,1513,169,776,25,115,273,0,11,30,159,0,49,1558
